 id  | can_transact | can_select | chance_of_playing_next_round | chance_of_playing_this_round |  code  | cost_change_event | cost_change_event_fall | cost_change_start | cost_change_start_fall | dreamteam_count | element_type | ep_next | ep_this | event_points |     first_name      | form | in_dreamteam |                                news                                 |          news_added           | now_cost |   photo    | points_per_game | removed |                 second_name                  | selected_by_percent | special | squad_number | status | team | team_code | total_points | transfers_in | transfers_in_event | transfers_out | transfers_out_event | value_form | value_season |     web_name     | region | team_join_date | birth_date | has_temporary_code | opta_code | minutes | goals_scored | assists | clean_sheets | goals_conceded | own_goals | penalties_saved | penalties_missed | yellow_cards | red_cards | saves | bonus | bps | influence | creativity | threat | ict_index | clearances_blocks_interceptions | recoveries | tackles | defensive_contribution | starts | expected_goals | expected_assists | expected_goal_involvements | expected_goals_conceded | influence_rank | influence_rank_type | creativity_rank | creativity_rank_type | threat_rank | threat_rank_type | ict_index_rank | ict_index_rank_type | corners_and_indirect_freekicks_order | corners_and_indirect_freekicks_text | direct_freekicks_order | direct_freekicks_text | penalties_order | penalties_text | expected_goals_per_90 | saves_per_90 | expected_assists_per_90 | expected_goal_involvements_per_90 | expected_goals_conceded_per_90 | goals_conceded_per_90 | now_cost_rank | now_cost_rank_type | form_rank | form_rank_type | points_per_game_rank | points_per_game_rank_type | selected_rank | selected_rank_type | starts_per_90 | clean_sheets_per_90 | defensive_contribution_per_90 
-----+--------------+------------+------------------------------+------------------------------+--------+-------------------+------------------------+-------------------+------------------------+-----------------+--------------+---------+---------+--------------+---------------------+------+--------------+---------------------------------------------------------------------+-------------------------------+----------+------------+-----------------+---------+----------------------------------------------+---------------------+---------+--------------+--------+------+-----------+--------------+--------------+--------------------+---------------+---------------------+------------+--------------+------------------+--------+----------------+------------+--------------------+-----------+---------+--------------+---------+--------------+----------------+-----------+-----------------+------------------+--------------+-----------+-------+-------+-----+-----------+------------+--------+-----------+---------------------------------+------------+---------+------------------------+--------+----------------+------------------+----------------------------+-------------------------+----------------+---------------------+-----------------+----------------------+-------------+------------------+----------------+---------------------+--------------------------------------+-------------------------------------+------------------------+-----------------------+-----------------+----------------+-----------------------+--------------+-------------------------+-----------------------------------+--------------------------------+-----------------------+---------------+--------------------+-----------+----------------+----------------------+---------------------------+---------------+--------------------+---------------+---------------------+-------------------------------
   1 | t            | t          |                              |                              | 154561 |                 0 |                      0 |                 4 |                     -4 |               1 |            1 |       4 |       4 |            2 | David               |    3 | f            |                                                                     |                               |       59 | 154561.jpg |             4.6 | f       | Raya Martín                                  |                31.4 | f       |              | a      |    1 |         3 |           55 |      2385771 |              30934 |        989033 |               55133 |        0.5 |          9.3 | Raya             |    200 | 2024-07-04     | 1995-09-15 | f                  | p154561   |    1080 |            0 |       0 |            7 |              6 |         0 |               0 |                0 |            1 |         0 |    17 |     3 | 216 |     166.4 |       10.2 |      0 |      17.7 |                               9 |         92 |       0 |                      0 |     12 |              0 |             0.04 |                       0.04 |                    6.24 |            128 |                  16 |             350 |                    3 |         742 |               87 |            260 |                  16 |                                      |                                     |                        |                       |                 |                |                     0 |         1.42 |                       0 |                                 0 |                           0.52 |                   0.5 |            93 |                  1 |       128 |             12 |                   45 |                         3 |             8 |                  2 |             1 |                0.58 |                             0
   2 | t            | t          |                              |                              | 109745 |                 0 |                      0 |                -3 |                      3 |               0 |            1 |       1 |       1 |            0 | Kepa                |    0 | f            |                                                                     |                               |       42 | 109745.jpg |               0 | f       | Arrizabalaga Revuelta                        |                 0.4 | f       |              | a      |    1 |         3 |            0 |         8451 |                180 |         62440 |                1060 |          0 |            0 | Arrizabalaga     |    200 | 2025-07-01     | 1994-10-03 | f                  | p109745   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            557 |                  77 |             545 |                   65 |         513 |               51 |            557 |                  77 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           608 |                 38 |       482 |             70 |                  561 |                        76 |           254 |                 34 |             0 |                   0 |                             0
   3 | t            | f          |                            0 |                            0 | 463748 |                 0 |                      0 |                 0 |                      0 |               0 |            1 |       0 |       0 |            0 | Karl                |    0 | f            | Has joined Werder Bremen on loan for the rest of the season.        | 2025-08-26 09:44:02.357864-04 |       40 | 463748.jpg |               0 | f       | Hein                                         |                 0.3 | f       |              | u      |    1 |         3 |            0 |         5545 |                  0 |         41707 |                 561 |          0 |            0 | Hein             |     67 | 2020-10-28     | 2002-04-13 | f                  | p463748   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            522 |                  65 |             510 |                   53 |         477 |               39 |            522 |                  65 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           650 |                 57 |       443 |             58 |                  527 |                        64 |           328 |                 47 |             0 |                   0 |                             0
   4 | t            | t          |                              |                              | 551221 |                 0 |                      0 |                 0 |                      0 |               0 |            1 |       1 |       1 |            0 | Tommy               |    0 | f            |                                                                     |                               |       40 | 551221.jpg |               0 | f       | Setford                                      |                 0.2 | f       |              | a      |    1 |         3 |            0 |        16185 |                201 |         17877 |                 506 |          0 |            0 | Setford          |    241 | 2024-07-24     | 2006-03-13 | f                  | p551221   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            538 |                  73 |             526 |                   61 |         494 |               47 |            538 |                  73 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           672 |                 65 |       462 |             66 |                  543 |                        72 |           362 |                 54 |             0 |                   0 |                             0
   5 | t            | t          |                            0 |                            0 | 226597 |                -1 |                      1 |                 4 |                     -4 |               3 |            2 |       0 |       0 |            0 | Gabriel             |  4.3 | t            | Thigh injury - Unknown return date                                  | 2025-11-17 07:00:07.436586-05 |       64 | 226597.jpg |             7.4 | f       | dos Santos Magalhães                         |                23.7 | f       |              | i      |    1 |         3 |           81 |      3873163 |               3483 |       3356856 |              805419 |        0.7 |         12.7 | Gabriel          |     30 | 2020-09-01     | 1997-12-19 | f                  | p226597   |     990 |            1 |       2 |            7 |              5 |         0 |               0 |                0 |            1 |         0 |     0 |    13 | 279 |     318.6 |       62.6 |     88 |      46.9 |                              88 |         15 |      12 |                    100 |     11 |           0.82 |             0.69 |                       1.51 |                    6.17 |             13 |                   5 |             190 |                   48 |         122 |               19 |             68 |                  17 |                                      |                                     |                        |                       |                 |                |                  0.07 |            0 |                    0.06 |                              0.13 |                           0.56 |                  0.45 |            65 |                  1 |        73 |             26 |                    2 |                         1 |            13 |                  6 |             1 |                0.64 |                          9.09
   6 | t            | t          |                          100 |                          100 | 462424 |                 0 |                      0 |                 0 |                      0 |               0 |            2 |       4 |       4 |            2 | William             |    3 | f            |                                                                     | 2025-10-28 17:00:08.018508-04 |       60 | 462424.jpg |             3.7 | f       | Saliba                                       |                12.8 | f       |              | a      |    1 |         3 |           41 |       955943 |              60353 |       1345399 |               22959 |        0.5 |          6.8 | Saliba           |     73 | 2019-07-25     | 2001-03-24 | f                  | p462424   |     814 |            0 |       0 |            5 |              4 |         0 |               0 |                0 |            0 |         0 |     0 |     1 | 190 |     185.2 |       35.6 |     16 |      23.7 |                              51 |         35 |      11 |                     62 |     10 |           0.29 |             0.24 |                       0.53 |                    4.72 |            109 |                  48 |             259 |                   79 |         301 |               94 |            214 |                  72 |                                      |                                     |                        |                       |                 |                |                  0.03 |            0 |                    0.03 |                              0.06 |                           0.52 |                  0.44 |            89 |                  5 |       130 |             45 |                   98 |                        37 |            33 |                 11 |          1.11 |                0.55 |                          6.86
   7 | t            | t          |                          100 |                           75 | 466075 |                 0 |                      0 |                 3 |                     -3 |               2 |            2 |       4 |       3 |            2 | Riccardo            |    3 | f            |                                                                     | 2025-11-17 07:30:07.209393-05 |       58 | 466075.jpg |             5.2 | f       | Calafiori                                    |                14.4 | f       |              | a      |    1 |         3 |           63 |      2183948 |              33368 |        926431 |               66049 |        0.5 |         10.9 | Calafiori        |    106 | 2024-07-29     | 2002-05-19 | f                  | p466075   |     946 |            1 |       2 |            7 |              6 |         0 |               0 |                0 |            3 |         0 |     0 |     3 | 222 |     159.6 |       91.6 |    187 |      43.7 |                              38 |         45 |      16 |                     54 |     12 |           2.31 |             0.28 |                       2.59 |                    4.87 |            138 |                  61 |             133 |                   28 |          44 |                3 |             80 |                  23 |                                      |                                     |                        |                       |                 |                |                  0.22 |            0 |                    0.03 |                              0.25 |                           0.46 |                  0.57 |           111 |                  8 |       126 |             42 |                   23 |                        13 |            27 |                 10 |          1.14 |                0.67 |                          5.14
   8 | t            | t          |                              |                              | 445122 |                 1 |                     -1 |                 8 |                     -8 |               2 |            2 |       5 |       5 |            5 | Jurriën             |    4 | t            |                                                                     |                               |       63 | 445122.jpg |               6 | f       | Timber                                       |                30.7 | f       |              | a      |    1 |         3 |           72 |      3927688 |             287114 |        708511 |               33020 |        0.6 |         11.4 | J.Timber         |    152 | 2023-07-14     | 2001-06-17 | f                  | p445122   |     971 |            2 |       3 |            6 |              6 |         0 |               0 |                0 |            2 |         0 |     0 |     7 | 263 |       253 |      193.9 |    236 |      68.5 |                              28 |         37 |      34 |                     62 |     11 |           2.58 |             0.68 |                       3.26 |                    5.14 |             52 |                  22 |              46 |                    9 |          24 |                1 |             20 |                   1 |                                      |                                     |                        |                       |                 |                |                  0.24 |            0 |                    0.06 |                               0.3 |                           0.48 |                  0.56 |            75 |                  2 |        87 |             31 |                    8 |                         5 |             9 |                  3 |          1.02 |                0.56 |                          5.75
   9 | t            | f          |                            0 |                            0 | 440854 |                 0 |                      0 |                -1 |                      1 |               0 |            2 |       0 |       0 |            0 | Jakub               |    0 | f            | has joined Porto on loan for the rest of the season.                | 2025-09-02 09:37:25.929594-04 |       54 | 440854.jpg |               0 | f       | Kiwior                                       |                 0.1 | f       |              | u      |    1 |         3 |            0 |         1119 |                  0 |         10580 |                  36 |          0 |            0 | Kiwior           |    172 | 2023-01-23     | 2000-02-15 | f                  | p440854   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            734 |                 249 |             733 |                  249 |         729 |              248 |            734 |                 249 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           172 |                 19 |       714 |            246 |                  734 |                       249 |           564 |                204 |             0 |                   0 |                             0
