 id  | can_transact | can_select | chance_of_playing_next_round | chance_of_playing_this_round |  code  | cost_change_event | cost_change_event_fall | cost_change_start | cost_change_start_fall | dreamteam_count | element_type | ep_next | ep_this | event_points |     first_name      | form | in_dreamteam |                                news                                 |          news_added           | now_cost |   photo    | points_per_game | removed |                 second_name                  | selected_by_percent | special | squad_number | status | team | team_code | total_points | transfers_in | transfers_in_event | transfers_out | transfers_out_event | value_form | value_season |     web_name     | region | team_join_date | birth_date | has_temporary_code | opta_code | minutes | goals_scored | assists | clean_sheets | goals_conceded | own_goals | penalties_saved | penalties_missed | yellow_cards | red_cards | saves | bonus | bps | influence | creativity | threat | ict_index | clearances_blocks_interceptions | recoveries | tackles | defensive_contribution | starts | expected_goals | expected_assists | expected_goal_involvements | expected_goals_conceded | influence_rank | influence_rank_type | creativity_rank | creativity_rank_type | threat_rank | threat_rank_type | ict_index_rank | ict_index_rank_type | corners_and_indirect_freekicks_order | corners_and_indirect_freekicks_text | direct_freekicks_order | direct_freekicks_text | penalties_order | penalties_text | expected_goals_per_90 | saves_per_90 | expected_assists_per_90 | expected_goal_involvements_per_90 | expected_goals_conceded_per_90 | goals_conceded_per_90 | now_cost_rank | now_cost_rank_type | form_rank | form_rank_type | points_per_game_rank | points_per_game_rank_type | selected_rank | selected_rank_type | starts_per_90 | clean_sheets_per_90 | defensive_contribution_per_90 
-----+--------------+------------+------------------------------+------------------------------+--------+-------------------+------------------------+-------------------+------------------------+-----------------+--------------+---------+---------+--------------+---------------------+------+--------------+---------------------------------------------------------------------+-------------------------------+----------+------------+-----------------+---------+----------------------------------------------+---------------------+---------+--------------+--------+------+-----------+--------------+--------------+--------------------+---------------+---------------------+------------+--------------+------------------+--------+----------------+------------+--------------------+-----------+---------+--------------+---------+--------------+----------------+-----------+-----------------+------------------+--------------+-----------+-------+-------+-----+-----------+------------+--------+-----------+---------------------------------+------------+---------+------------------------+--------+----------------+------------------+----------------------------+-------------------------+----------------+---------------------+-----------------+----------------------+-------------+------------------+----------------+---------------------+--------------------------------------+-------------------------------------+------------------------+-----------------------+-----------------+----------------+-----------------------+--------------+-------------------------+-----------------------------------+--------------------------------+-----------------------+---------------+--------------------+-----------+----------------+----------------------+---------------------------+---------------+--------------------+---------------+---------------------+-------------------------------
   1 | t            | t          |                              |                              | 154561 |                 0 |                      0 |                 4 |                     -4 |               1 |            1 |       4 |       4 |            6 | David               |    3 | t            |                                                                     |                               |       59 | 154561.jpg |             4.6 | f       | Raya Martín                                  |                33.4 | f       |              | a      |    1 |         3 |           64 |      2625498 |             124504 |       1062733 |               21908 |        0.5 |         10.8 | Raya             |    200 | 2024-07-04     | 1995-09-15 | f                  | p154561   |    1260 |            0 |       0 |            8 |              7 |         0 |               0 |                0 |            1 |         0 |    21 |     3 | 254 |     201.4 |       10.2 |      0 |      21.2 |                              11 |        111 |       0 |                      0 |     14 |              0 |             0.04 |                       0.04 |                    7.38 |            126 |                  16 |             362 |                    3 |         745 |               88 |            261 |                  16 |                                      |                                     |                        |                       |                 |                |                     0 |          1.5 |                       0 |                                 0 |                           0.53 |                   0.5 |            94 |                  1 |       127 |              9 |                   41 |                         2 |             8 |                  2 |             1 |                0.57 |                             0
   2 | t            | t          |                              |                              | 109745 |                 0 |                      0 |                -3 |                      3 |               0 |            1 |       1 |       1 |            0 | Kepa                |    0 | f            |                                                                     |                               |       42 | 109745.jpg |               0 | f       | Arrizabalaga Revuelta                        |                 0.4 | f       |              | a      |    1 |         3 |            0 |         9038 |                285 |         64652 |                 944 |          0 |            0 | Arrizabalaga     |    200 | 2025-07-01     | 1994-10-03 | f                  | p109745   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            562 |                  78 |             549 |                   66 |         519 |               52 |            562 |                  78 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           607 |                 37 |       495 |             73 |                  567 |                        78 |           258 |                 34 |             0 |                   0 |                             0
   3 | t            | f          |                            0 |                            0 | 463748 |                 0 |                      0 |                 0 |                      0 |               0 |            1 |       0 |       0 |            0 | Karl                |    0 | f            | Has joined Werder Bremen on loan for the rest of the season.        | 2025-08-26 09:44:02.357864-04 |       40 | 463748.jpg |               0 | f       | Hein                                         |                 0.2 | f       |              | u      |    1 |         3 |            0 |         5545 |                  0 |         42922 |                 486 |          0 |            0 | Hein             |     67 | 2020-10-28     | 2002-04-13 | f                  | p463748   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            529 |                  67 |             516 |                   55 |         485 |               41 |            529 |                  67 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           649 |                 56 |       460 |             62 |                  534 |                        67 |           333 |                 47 |             0 |                   0 |                             0
   4 | t            | t          |                              |                              | 551221 |                 0 |                      0 |                -1 |                      1 |               0 |            1 |       1 |       1 |            0 | Tommy               |    0 | f            |                                                                     |                               |       39 | 551221.jpg |               0 | f       | Setford                                      |                 0.2 | f       |              | a      |    1 |         3 |            0 |        18794 |               1418 |         19145 |                 582 |          0 |            0 | Setford          |    241 | 2024-07-24     | 2006-03-13 | f                  | p551221   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            497 |                  50 |             481 |                   36 |         450 |               22 |            497 |                  50 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           735 |                 87 |       426 |             44 |                  502 |                        50 |           337 |                 48 |             0 |                   0 |                             0
   5 | t            | t          |                            0 |                            0 | 226597 |                 0 |                      0 |                 3 |                     -3 |               3 |            2 |       0 |       0 |            0 | Gabriel             |  0.2 | t            | Thigh injury - Unknown return date                                  | 2025-11-17 07:00:07.436586-05 |       63 | 226597.jpg |             7.4 | f       | dos Santos Magalhães                         |                17.1 | f       |              | i      |    1 |         3 |           81 |      3878350 |               2061 |       4261998 |              257473 |          0 |         12.9 | Gabriel          |     30 | 2020-09-01     | 1997-12-19 | f                  | p226597   |     990 |            1 |       2 |            7 |              5 |         0 |               0 |                0 |            1 |         0 |     0 |    13 | 279 |     318.6 |       62.6 |     88 |      46.9 |                              88 |         15 |      12 |                    100 |     11 |           0.82 |             0.69 |                       1.51 |                    6.17 |             26 |                  12 |             213 |                   56 |         150 |               29 |             96 |                  27 |                                      |                                     |                        |                       |                 |                |                  0.07 |            0 |                    0.06 |                              0.13 |                           0.56 |                  0.45 |            72 |                  2 |       368 |            127 |                    3 |                         2 |            23 |                  8 |             1 |                0.64 |                          9.09
   6 | t            | t          |                           75 |                           75 | 462424 |                 0 |                      0 |                 0 |                      0 |               0 |            2 |     1.4 |     1.4 |            0 | William             |  0.8 | f            | Knock - 75% chance of playing                                       | 2025-11-30 17:30:08.957329-05 |       60 | 462424.jpg |             3.7 | f       | Saliba                                       |                11.5 | f       |              | d      |    1 |         3 |           41 |       990846 |               3919 |       1533107 |               92892 |        0.1 |          6.8 | Saliba           |     73 | 2019-07-25     | 2001-03-24 | f                  | p462424   |     814 |            0 |       0 |            5 |              4 |         0 |               0 |                0 |            0 |         0 |     0 |     1 | 190 |     185.2 |       35.6 |     16 |      23.7 |                              51 |         35 |      11 |                     62 |     10 |           0.29 |             0.24 |                       0.53 |                    4.72 |            140 |                  61 |             276 |                   84 |         319 |              105 |            245 |                  81 |                                      |                                     |                        |                       |                 |                |                  0.03 |            0 |                    0.03 |                              0.06 |                           0.52 |                  0.44 |            90 |                  6 |       314 |            108 |                   96 |                        36 |            35 |                 12 |          1.11 |                0.55 |                          6.86
   7 | t            | t          |                          100 |                          100 | 466075 |                 0 |                      0 |                 3 |                     -3 |               2 |            2 |     3.5 |     3.5 |            7 | Riccardo            |  2.5 | f            |                                                                     | 2025-11-17 07:30:07.209393-05 |       58 | 466075.jpg |               5 | f       | Calafiori                                    |                15.2 | f       |              | a      |    1 |         3 |           70 |      2333825 |              73123 |       1007524 |               24255 |        0.4 |         12.1 | Calafiori        |    106 | 2024-07-29     | 2002-05-19 | f                  | p466075   |    1081 |            1 |       2 |            8 |              6 |         0 |               0 |                0 |            4 |         0 |     0 |     4 | 260 |     199.4 |       97.2 |    213 |      50.8 |                              48 |         52 |      24 |                     72 |     14 |           2.49 |             0.32 |                       2.81 |                    5.53 |            129 |                  56 |             153 |                   35 |          44 |                3 |             86 |                  23 |                                      |                                     |                        |                       |                 |                |                  0.21 |            0 |                    0.03 |                              0.24 |                           0.46 |                   0.5 |           109 |                  8 |       166 |             54 |                   19 |                        10 |            25 |                  9 |          1.17 |                0.67 |                          5.99
   8 | t            | t          |                              |                              | 445122 |                 0 |                      0 |                 9 |                     -9 |               2 |            2 |     3.2 |     3.2 |            1 | Jurriën             |  2.2 | t            |                                                                     |                               |       64 | 445122.jpg |             5.4 | f       | Timber                                       |                34.5 | f       |              | a      |    1 |         3 |           75 |      4464026 |             135351 |        807509 |               60752 |        0.3 |         11.7 | J.Timber         |    152 | 2023-07-14     | 2001-06-17 | f                  | p445122   |    1107 |            2 |       3 |            6 |              7 |         0 |               0 |                0 |            2 |         0 |     0 |     7 | 274 |     270.2 |      197.3 |    242 |      71.1 |                              34 |         45 |      37 |                     71 |     12 |           2.88 |             0.71 |                       3.59 |                    6.02 |             65 |                  30 |              58 |                   12 |          32 |                1 |             28 |                   1 |                                      |                                     |                        |                       |                 |                |                  0.23 |            0 |                    0.06 |                              0.29 |                           0.49 |                  0.57 |            66 |                  1 |       180 |             58 |                   14 |                         8 |             5 |                  2 |          0.98 |                0.49 |                          5.77
   9 | t            | f          |                            0 |                            0 | 440854 |                 0 |                      0 |                -1 |                      1 |               0 |            2 |       0 |       0 |            0 | Jakub               |    0 | f            | has joined Porto on loan for the rest of the season.                | 2025-09-02 09:37:25.929594-04 |       54 | 440854.jpg |               0 | f       | Kiwior                                       |                 0.1 | f       |              | u      |    1 |         3 |            0 |         1119 |                  0 |         10634 |                  25 |          0 |            0 | Kiwior           |    172 | 2023-01-23     | 2000-02-15 | f                  | p440854   |       0 |            0 |       0 |            0 |              0 |         0 |               0 |                0 |            0 |         0 |     0 |     0 |   0 |         0 |          0 |      0 |         0 |                               0 |          0 |       0 |                      0 |      0 |              0 |                0 |                          0 |                       0 |            737 |                 249 |             736 |                  249 |         732 |              248 |            737 |                 249 |                                      |                                     |                        |                       |                 |                |                     0 |            0 |                       0 |                                 0 |                              0 |                     0 |           169 |                 19 |       722 |            246 |                  737 |                       249 |           565 |                203 |             0 |                   0 |                             0
