 id  |  code   | event | finished | finished_provisional |      kickoff_time      | minutes | provisional_start_time | started | team_a | team_a_score | team_h | team_h_score | team_h_difficulty | team_a_difficulty | pulse_id 
-----+---------+-------+----------+----------------------+------------------------+---------+------------------------+---------+--------+--------------+--------+--------------+-------------------+-------------------+----------
   1 | 2561895 |     1 | t        | t                    | 2025-08-15 15:00:00-04 |      90 | f                      | t       |      4 |            2 |     12 |            4 |                 3 |                 4 |   124791
   2 | 2561896 |     1 | t        | t                    | 2025-08-16 07:30:00-04 |      90 | f                      | t       |     15 |            0 |      2 |            0 |                 3 |                 3 |   124792
   3 | 2561897 |     1 | t        | t                    | 2025-08-16 10:00:00-04 |      90 | f                      | t       |     10 |            1 |      6 |            1 |                 2 |                 3 |   124793
   6 | 2561900 |     1 | t        | t                    | 2025-08-16 10:00:00-04 |      90 | f                      | t       |      3 |            0 |     18 |            3 |                 2 |                 3 |   124796
   5 | 2561899 |     1 | t        | t                    | 2025-08-16 10:00:00-04 |      90 | f                      | t       |     19 |            0 |     17 |            3 |                 2 |                 3 |   124795
   7 | 2561901 |     1 | t        | t                    | 2025-08-16 12:30:00-04 |      90 | f                      | t       |     13 |            4 |     20 |            0 |                 4 |                 2 |   124797
   8 | 2561902 |     1 | t        | t                    | 2025-08-17 09:00:00-04 |      90 | f                      | t       |      8 |            0 |      7 |            0 |                 3 |                 3 |   124798
   4 | 2561898 |     1 | t        | t                    | 2025-08-17 09:00:00-04 |      90 | f                      | t       |      5 |            1 |     16 |            3 |                 3 |                 3 |   124794
   9 | 2561903 |     1 | t        | t                    | 2025-08-17 11:30:00-04 |      90 | f                      | t       |      1 |            1 |     14 |            0 |                 4 |                 3 |   124799
  10 | 2561904 |     1 | t        | t                    | 2025-08-18 15:00:00-04 |      90 | f                      | t       |      9 |            0 |     11 |            1 |                 2 |                 3 |   124800
  20 | 2561914 |     2 | t        | t                    | 2025-08-22 15:00:00-04 |      90 | f                      | t       |      7 |            5 |     19 |            1 |                 3 |                 2 |   124810
  18 | 2561912 |     2 | t        | t                    | 2025-08-23 07:30:00-04 |      90 | f                      | t       |     18 |            2 |     13 |            0 |                 3 |                 4 |   124808
  12 | 2561905 |     2 | t        | t                    | 2025-08-23 10:00:00-04 |      90 | f                      | t       |     20 |            0 |      4 |            1 |                 2 |                 4 |   124802
  13 | 2561907 |     2 | t        | t                    | 2025-08-23 10:00:00-04 |      90 | f                      | t       |      2 |            0 |      5 |            1 |                 3 |                 3 |   124803
  14 | 2561908 |     2 | t        | t                    | 2025-08-23 10:00:00-04 |      90 | f                      | t       |     17 |            0 |      3 |            2 |                 2 |                 2 |   124804
  11 | 2561906 |     2 | t        | t                    | 2025-08-23 12:30:00-04 |      90 | f                      | t       |     11 |            0 |      1 |            5 |                 2 |                 5 |   124801
  15 | 2561909 |     2 | t        | t                    | 2025-08-24 09:00:00-04 |      90 | f                      | t       |     16 |            1 |      8 |            1 |                 2 |                 3 |   124805
